Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
73,13687,species,White-shouldered Fire-eye,Pyriglena leucoptera,2,Sítio do Engenho,BR-SP,27 May 2023,L21434561,S139396105,,1
74,15302,species,Rufous-capped Spinetail,Synallaxis ruficapilla,1,Sítio do Engenho,BR-SP,26 May 2023,L21434561,S139350860,,1
75,11708,species,Collared Forest-Falcon,Micrastur semitorquatus,1,Sítio do Engenho,BR-SP,26 May 2023,L21434561,S139350860,,1
76,20948,species,Eurasian Jay,Garrulus glandarius,2,Athens National Garden (Εθνικός Κήπος),GR-I,22 May 2023,L2694540,S138805724,,1
77,31018,species,House Sparrow,Passer domesticus,20,Ancient Agora,GR-I,21 May 2023,L3768415,S138624282,,1
78,9394,species,Eurasian Hoopoe,Upupa epops,1,Ancient Agora,GR-I,21 May 2023,L3768415,S138624282,,1
79,4078,species,Pallid Swift,Apus pallidus,2,Ancient Agora,GR-I,21 May 2023,L3768415,S138624282,,1
80,5000,species,Swallow-tailed Hummingbird,Eupetomena macroura,,"Araçariguama, SP, 18147-000, Brasil",BR-SP,20 May 2023,L24972350,S140624680,,1
81,30998,species,Dunnock,Prunella modularis,1,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
82,24786,species,Long-tailed Tit,Aegithalos caudatus,6,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
83,24432,species,Common Chiffchaff,Phylloscopus collybita,1,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
84,23636,species,Bank Swallow,Riparia riparia,6,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
85,23263,species,Common Reed Warbler,Acrocephalus scirpaceus,3,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
86,21186,species,Carrion Crow,Corvus corone,1,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
87,21076,species,Eurasian Magpie,Pica pica,8,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
88,12111,species,Rose-ringed Parakeet,Psittacula krameri,4,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,N,1
89,7224,species,Great Cormorant,Phalacrocorax carbo,1,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
90,6686,species,Common Tern,Sterna hirundo,2,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
91,5461,species,Eurasian Coot,Fulica atra,2,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
92,1848,species,Great Crested Grebe,Podiceps cristatus,4,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
93,1804,species,Little Grebe,Tachybaptus ruficollis,1,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,,1
95,15750,species,White-winged Becard,Pachyramphus polychopterus,1,Sítio do Engenho,BR-SP,01 May 2023,L21434561,S135661822,,1
96,14287,species,Rufous-breasted Leaftosser,Sclerurus scansor,1,Sítio do Engenho,BR-SP,01 May 2023,L21434561,S135661822,,1
97,8235,species,Roadside Hawk,Rupornis magnirostris,1,Sítio do Engenho,BR-SP,01 May 2023,L21434561,S135661822,,1
98,3032,species,Pavonine Cuckoo,Dromococcyx pavoninus,1,Sítio do Engenho,BR-SP,01 May 2023,L21434561,S135661822,,1
99,130,species,Tataupa Tinamou,Crypturellus tataupa,1,Sítio do Engenho,BR-SP,01 May 2023,L21434561,S135661822,,1
100,13204,species,Tufted Antshrike,Mackenziaena severa,1,Sítio do Engenho,BR-SP,30 Apr 2023,L21434561,S135518673,,1
101,10922,species,White Woodpecker,Melanerpes candidus,1,Sítio do Engenho,BR-SP,30 Apr 2023,L21434561,S135518673,,1
102,24843,species,Eurasian Blackcap,Sylvia atricapilla,3,Giardini Pubblici di Venezia,IT-34,27 Apr 2023,L1626157,S135252104,,1
103,7575,species,African Sacred Ibis,Threskiornis aethiopicus,1,Venezia (area generale),IT-34,27 Apr 2023,L1272698,S135252160,N,1
104,10205,species,Crescent-chested Puffbird,Malacoptila striata,,"Araçariguama, SP, 18147-000, Brasil",BR-SP,23 Apr 2023,L24972350,S140624681,,1
105,7421,species,Little Egret,Egretta garzetta,,"San Polo, 30100 Venice, Metropolitan City of Venice, Ιταλία",IT-34,20 Apr 2023,L23959416,S135669912,,1
106,32050,species,European Serin,Serinus serinus,,"San Polo, 30100 Venice, Metropolitan City of Venice, Ιταλία",IT-34,20 Apr 2023,L23959416,S135669913,,1
107,11757,species,Eurasian Kestrel,Falco tinnunculus,,"Padua City Centre, Padua, Province of Padua, Ιταλία",IT-34,19 Apr 2023,L23959418,S135669916,,1
108,9629,species,Common Kingfisher,Alcedo atthis,,"Padua City Centre, Padua, Province of Padua, Ιταλία",IT-34,19 Apr 2023,L23959418,S135669917,,1
109,21786,species,Great Tit,Parus major,,"Padua City Centre, Padua, Province of Padua, Ιταλία",IT-34,19 Apr 2023,L23959418,S135669919,,1
111,33183,species,Variable Oriole,Icterus pyrrhopterus,,"Puerto Madero, Città Autonoma di Buenos Aires, Argentina",AR-C,16 Apr 2023,L23959417,S135669926,,1
112,5436,species,Eurasian Moorhen,Gallinula chloropus,,"Padua City Centre, Padua, Province of Padua, Italia",IT-34,16 Apr 2023,L23959420,S135669931,,1
113,35278,species,Golden-billed Saltator,Saltator aurantiirostris,3,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
114,33393,species,Grayish Baywing,Agelaioides badius,5,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
115,26647,species,Masked Gnatcatcher,Polioptila dumicola,5,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
116,16445,species,White-crested Tyrannulet,Serpophaga subcristata,2,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
117,16444,species,Sooty Tyrannulet,Serpophaga nigricans,1,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
118,15257,species,Yellow-chinned Spinetail,Certhiaxis cinnamomeus,3,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
119,14644,species,Narrow-billed Woodcreeper,Lepidocolaptes angustirostris,2,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
120,12878,species,Nanday Parakeet,Aratinga nenday,15,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,N,1
121,12576,species,Monk Parakeet,Myiopsitta monachus,6,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
122,8250,species,Harris's Hawk,Parabuteo unicinctus,4,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
123,7552,species,White-faced Ibis,Plegadis chihi,7,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
124,5486,species,White-winged Coot,Fulica leucoptera,2,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
125,5460,species,Red-gartered Coot,Fulica armillata,3,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
126,5457,species,Red-fronted Coot,Fulica rufifrons,40,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
127,5424,species,Spot-flanked Gallinule,Porphyriops melanops,2,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
128,1831,species,Pied-billed Grebe,Podilymbus podiceps,1,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
129,1798,species,White-tufted Grebe,Rollandia rolland,12,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
130,744,species,Lake Duck,Oxyura vittata,8,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
